"mean","lb","ub","impute_model"
0.987475769613316,0.987358983316065,0.987586734282078,"m1"
0.987555699879877,0.987445640281526,0.987668012102447,"m2"
0.987612959282392,0.987510738735319,0.987716513423959,"m3"
